claim_id,claim,gold_label,condition,model,predicted_label,explanation,rouge_score,raw_response
7792,The Bassoon King's writer is Rainn Wilson.,SUPPORTS,condition_1,gemma:latest,REFUTES,,,REFUTES
7792,The Bassoon King's writer is Rainn Wilson.,SUPPORTS,condition_2,gemma:latest,REFUTES,Rainn Wilson is known for his comedic roles and has not been credited as the writer of The Bassoon King.,0.2609,"Label: REFUTES
Explanation: Rainn Wilson is known for his comedic roles and has not been credited as the writer of The Bassoon King."
7792,The Bassoon King's writer is Rainn Wilson.,SUPPORTS,condition_3,gemma:latest,NOT ENOUGH INFO,"The provided evidence does not contain any information regarding the writer of The Bassoon King, so it is not possible to determine whether the claim is true or false based on the given context.",0.1622,"Label: NOT ENOUGH INFO
Explanation: The provided evidence does not contain any information regarding the writer of The Bassoon King, so it is not possible to determine whether the claim is true or false based on the given context."
90906,Simon Pegg is an English actor.,SUPPORTS,condition_1,gemma:latest,SUPPORTS,,,SUPPORTS
90906,Simon Pegg is an English actor.,SUPPORTS,condition_2,gemma:latest,SUPPORTS,"The statement is consistent with the widely known biographical information about Simon Pegg, who is indeed an English actor.",0.1905,"Label: SUPPORTS
Explanation: The statement is consistent with the widely known biographical information about Simon Pegg, who is indeed an English actor."
90906,Simon Pegg is an English actor.,SUPPORTS,condition_3,gemma:latest,SUPPORTS,"The provided evidence explicitly mentions Simon Pegg, who is known as an English actor. This aligns with the claim that Simon Pegg is an English actor.",0.1429,"Label: SUPPORTS
Explanation: The provided evidence explicitly mentions Simon Pegg, who is known as an English actor. This aligns with the claim that Simon Pegg is an English actor."
65949,Pattern recognition uses unsupervised learning to discover previously unknown patterns.,SUPPORTS,condition_1,gemma:latest,SUPPORTS,,,SUPPORTS
65949,Pattern recognition uses unsupervised learning to discover previously unknown patterns.,SUPPORTS,condition_2,gemma:latest,SUPPORTS,Pattern recognition algorithms often employ unsupervised learning techniques to identify hidden patterns in data without prior knowledge or labels. This ability to discover previously unknown patterns is a fundamental aspect of unsupervised learning.,0.1143,"Label: SUPPORTS
Explanation: Pattern recognition algorithms often employ unsupervised learning techniques to identify hidden patterns in data without prior knowledge or labels. This ability to discover previously unknown patterns is a fundamental aspect of unsupervised learning."
65949,Pattern recognition uses unsupervised learning to discover previously unknown patterns.,SUPPORTS,condition_3,gemma:latest,SUPPORTS,"The provided evidence states that pattern recognition utilizes unsupervised learning techniques to uncover previously undiscovered patterns, which aligns with the claim that pattern recognition employs unsupervised learning to unearth previously unknown patterns.",0.1176,"Label: SUPPORTS
Explanation: The provided evidence states that pattern recognition utilizes unsupervised learning techniques to uncover previously undiscovered patterns, which aligns with the claim that pattern recognition employs unsupervised learning to unearth previously unknown patterns."
214982,Sensitive Skin's first series aired in the 2000s.,SUPPORTS,condition_1,gemma:latest,REFUTES,,,REFUTES
